Stage,Sector,2019-20,2020-21,2021-22,2022-23,2023-24
Pre- Primary,Public,4172699,3334296,3922585,4486920,4671181
Pre- Primary,Other Public,44174,54304,58247,95184,350294
Pre- Primary,Private,4736903,4962570,4985610,5064577,4579123
Pre- Primary,Total,8953776,8351170,8966442,9646681,9600598
Primary,Public,12644242,12625179,12381505,12155301,11876362
Primary,Other Public,202798,224129,231018,355783,753074
Primary,Private,6761218,7228763,7281708,8134742,8186300
Primary,Total,19608258,20078071,19894231,20645826,20815736
Middle,Public,4575905,4724209,5029733,5102249,5260833
Middle,Other Public,129725,140513,148414,180216,264467
Middle,Private,2251856,2459864,2486482,2999666,3682559
Middle,Total,6957486,7324586,7664629,8282131,9207859
High,Public,2396669,2538939,2641754,2636565,2752307
High,Other Public,77100,83915,90046,118286,147367
High,Private,1024042,1156385,1174955,1380784,1799717
High,Total,3497811,3779239,3906755,4135635,4699391
Higher Secondary/Inter Colleges,Public,1579610,1549205,1385959,1459377,1493986
Higher Secondary/Inter Colleges,Other Public,48788,55259,59320,54868,70836
Higher Secondary/Inter Colleges,Private,592854,688489,698794,817081,1260427
Higher Secondary/Inter Colleges,Total,2221252,2292953,2144073,2331326,2825249
Degree Colleges (XI-XIV),Public,523959,547965,420570,410909,525084
Degree Colleges (XI-XIV),Other Public,16385,16385,16385,16385,346
Degree Colleges (XI-XIV),Private,231292,193536,186437,202705,193389
Degree Colleges (XI-XIV),Total,771636,757886,623392,629999,718819
Universities,Public,1647049,1866976,1866976,1550290,1572779
Universities,Other Public,0,0,0,0,0
Universities,Private,354646,359275,359275,386039,391368
Universities,Total,2001695,2226251,2226251,1936329,1964147
Non-Formal Basic Education,Public,1367916,1494445,747778,1006520,1146726
Non-Formal Basic Education,Other Public,0,0,0,0,0
Non-Formal Basic Education,Private,0,0,126322,67184,63190
Non-Formal Basic Education,Total,1367916,1494445,874100,1073704,1209916
Education Foundations,Public,0,0,0,0,0
Education Foundations,Other Public,0,0,0,0,0
Education Foundations,Private,3185636,2972149,3406747,3510594,3474607
Education Foundations,Total,3185636,2972149,3406747,3510594,3474607
Technical & Vocational Institutions,Public,277126,277126,288224,297643,295874
Technical & Vocational Institutions,Other Public,0,0,0,0,0
Technical & Vocational Institutions,Private,156111,156111,149858,156314,161524
Technical & Vocational Institutions,Total,433237,433237,438082,453957,457398
Teachers Training Institutions,Public,70862,70862,70862,70862,0
Teachers Training Institutions,Other Public,0,0,0,0,0
Teachers Training Institutions,Private,5365,5365,5365,5365,0
Teachers Training Institutions,Total,76227,76227,76227,76227,0
Deeni Madaris,Public,0,0,0,0,0
Deeni Madaris,Other Public,0,0,0,0,0
Deeni Madaris,Private,4198173,4408539,4650035,3346923,3260875
Deeni Madaris,Total,4198173,4408539,4650035,3346923,3260875
Distance Learning Institutions (AIOU),Public,0,0,0,0,96483
Distance Learning Institutions (AIOU),Other Public,0,0,0,0,0
Distance Learning Institutions (AIOU),Private,0,0,0,0,0
Distance Learning Institutions (AIOU),Total,0,0,0,0,96483
Total,Public,29256037,29029202,28755946,29176636,29691615
Total,Other Public,518970,574505,603430,820722,1586384
Total,Private,23498096,24591046,25511588,26071974,27053079
Total,Grand Total,53273103,54194753,54870964,56069332,58331078