Province/Region,Level,Public - Male,Public - Female,Public - Total,Private - Male,Private - Female,Private - Total,Total - Male,Total - Female,Total - Total
Punjab,Bachelor,207422,247244,454666,85893,58978,144871,293315,306222,599537
Punjab,Master of 16 yrs of Education,13024,18320,31344,2282,1595,3877,15306,19915,35221
Punjab,Master of 16 +yrs,22494,28315,50809,12869,13270,26139,35363,41585,76948
Punjab,Ph.D,1317,862,2179,66,160,226,1383,1022,2405
Punjab,P.G.D,3787,3783,7570,1115,916,2031,4902,4699,9601
Punjab,Total,248044,298524,546568,102225,74919,177144,350269,373443,723712
Sindh,Bachelor,86076,59606,145682,54742,37422,92164,140818,97028,237846
Sindh,Master of 16 yrs of Education,4614,4584,9198,671,382,1053,5285,4966,10251
Sindh,Master of 16 +yrs,11598,6509,18107,7480,4056,11536,19078,10565,29643
Sindh,Ph.D,1265,753,2018,53,54,107,1318,807,2125
Sindh,P.G.D,2837,1894,4731,432,340,772,3269,2234,5503
Sindh,Total,106390,73346,179736,63378,42254,105632,169768,115600,285368
KP,Bachelor,84124,31640,115764,22486,7266,29752,106610,38906,145516
KP,Master of 16 yrs of Education,4237,2853,7090,2846,2426,5272,7083,5279,12362
KP,Master of 16 +yrs,10664,5090,15754,3014,861,3875,13678,5951,19629
KP,Ph.D,4,29,33,NaN,NaN,NaN,4,29,33
KP,P.G.D,2421,978,3399,272,101,373,2693,1079,3772
KP,Total,101450,40590,142040,28618,10654,39272,130068,51244,181312
Balochistan,Bachelor,24582,11306,35888,869,414,1283,25451,11720,37171
Balochistan,Master of 16 yrs of Education,1469,522,1991,301,139,440,1770,661,2431
Balochistan,Master of 16 +yrs,1908,763,2671,330,149,479,2238,912,3150
Balochistan,Ph.D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Balochistan,P.G.D,121,109,230,51,24,75,172,133,305
Balochistan,Total,28080,12700,40780,1551,726,2277,29631,13426,43057
AJ&K,Bachelor,11382,12298,23680,673,997,1670,12055,13295,25350
AJ&K,Master of 16 yrs of Education,659,1215,1874,21,30,51,680,1245,1925
AJ&K,Master of 16 +yrs,746,1574,2320,158,203,361,904,1777,2681
AJ&K,Ph.D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AJ&K,P.G.D,201,257,458,39,17,56,240,274,514
AJ&K,Total,12988,15344,28332,891,1247,2138,13879,16591,30470
GB,Bachelor,3639,3561,7200,NaN,NaN,NaN,3639,3561,7200
GB,Master of 16 yrs of Education,225,454,679,NaN,NaN,NaN,225,454,679
GB,Master of 16 +yrs,173,196,369,NaN,NaN,NaN,173,196,369
GB,Ph.D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GB,P.G.D,1,1,NaN,NaN,NaN,NaN,1,1,NaN
GB,Total,4038,4211,8249,NaN,NaN,NaN,4038,4211,8249
ICT,Bachelor,260149,230375,490524,29084,21489,50573,289233,251864,541097
ICT,Master of 16 yrs of Education,51188,46610,97798,75,87,162,51263,46697,97960
ICT,Master of 16 +yrs,15422,13867,29289,6135,6805,12940,21557,20672,42229
ICT,Ph.D,1612,1086,2698,72,201,273,1684,1287,2971
ICT,P.G.D,3841,2924,6765,506,451,957,4347,3375,7722
ICT,Total,332212,294862,627074,35872,29033,64905,368084,323895,691979
Pakistan,Bachelor,677374,596030,1273404,193747,126566,320313,871121,722596,1593717
Pakistan,Master of 16 yrs of Education,75416,74558,149974,6196,4659,10855,81612,79217,160829
Pakistan,Master of 16 +yrs,63005,56314,119319,29986,25344,55330,92991,81658,174649
Pakistan,Ph.D,4198,2730,6928,191,415,606,4389,3145,7534
Pakistan,P.G.D,13209,9945,23154,2415,1849,4264,15624,11794,27418
Pakistan,Grand Total,833202,739577,1572779,232535,158833,391368,1065737,898410,1964147