Class,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Class 1,2878489,2896379,2888005,3011474,3123335,3005896,2710303,2524566,2735042,2745067
Class 2,2450448,2495963,2547339,2629110,2831353,2815816,2754356,2599593,2427967,2524735
Class 3,2144756,2161159,2213771,2303277,2402396,2494588,2590471,2503134,2343251,2179040
Class 4,1877490,1951994,2012350,2110130,2250340,2276900,2392388,2486066,2355672,2224817
Class 5,1636409,1583267,1695145,1827031,1967042,2051042,2165232,2255717,2278418,2187557
Class 6,1381991,1376520,1396264,1515021,1618783,1654800,1600595,1786928,1807225,1857681
Class 7,1352808,1289458,1301886,1349671,1464026,1534227,1610012,1662113,1704066,1737624
Class 8,1237940,1241850,1226379,1273415,1322162,1386878,1501153,1568243,1576744,1651373
Class 9,1219343,1168267,1187665,1255869,1302834,1298673,1302815,1398233,1464393,1434983
Class 10,899119,987491,997112,1038906,1074794,1097996,1228475,1235872,1163686,1308458